Well,Sample Name,Detector,Task,CT,Std. Dev. CT,Quantity,Mean Quantity,Std. Dev. Quantity,Filtered
A1,ACT CA1 LC 218.3 C57,SYBR,Unknown,24.08,0.308,,,,
A2,ACT CA1 LC 218.3 C57,SYBR,Unknown,Undetermined,,,,,
A3,ACT CA1 LC 218.3 C57,SYBR,Unknown,24.51,0.308,,,,
A4,ACT CA1 LC 218.3 C57,SYBR,NTC,Undetermined,,,,,
A5,ACT CA1 LC 236.7 FVB,SYBR,Unknown,29.14,0.117,,,,
A6,ACT CA1 LC 236.7 FVB,SYBR,Unknown,29.38,0.117,,,,
A7,ACT CA1 LC 236.7 FVB,SYBR,Unknown,29.28,0.117,,,,
A8,ACT CA1 LC 236.7 FVB,SYBR,NTC,Undetermined,,,,,
A9,ACT CA1 KO118.6 FVB,SYBR,Unknown,29.36,0.195,,,,
A10,ACT CA1 KO118.6 FVB,SYBR,Unknown,29.15,0.195,,,,
A11,ACT CA1 KO118.6 FVB,SYBR,Unknown,28.97,0.195,,,,
A12,ACT CA1 KO118.6 FVB,SYBR,NTC,Undetermined,,,,,
B1,BDNF CA1 LC 218.3 C57,SYBR,Unknown,33.23,0.176,,,,
B2,BDNF CA1 LC 218.3 C57,SYBR,Unknown,33.42,0.176,,,,
B3,BDNF CA1 LC 218.3 C57,SYBR,Unknown,33.07,0.176,,,,
B4,BDNF CA1 LC 218.3 C57,SYBR,NTC,Undetermined,,,,,
B5,BDNF CA1 LC 236.7 FVB,SYBR,Unknown,35.82,0.157,,,,
B6,BDNF CA1 LC 236.7 FVB,SYBR,Unknown,35.51,0.157,,,,
B7,BDNF CA1 LC 236.7 FVB,SYBR,Unknown,35.62,0.157,,,,
B8,BDNF CA1 LC 236.7 FVB,SYBR,NTC,Undetermined,,,,,
B9,BDNF CA1 KO118.6 FVB,SYBR,Unknown,37.57,0.392,,,,
B10,BDNF CA1 KO118.6 FVB,SYBR,Unknown,38.02,0.392,,,,
B11,BDNF CA1 KO118.6 FVB,SYBR,Unknown,38.36,0.392,,,,
B12,BDNF CA1 KO118.6 FVB,SYBR,NTC,Undetermined,,,,,
C1,ACT CA1 LC 239.4 C57,SYBR,Unknown,24.94,0.252,,,,
C2,ACT CA1 LC 239.4 C57,SYBR,Unknown,25.44,0.252,,,,
C3,ACT CA1 LC 239.4 C57,SYBR,Unknown,25.21,0.252,,,,
C4,ACT CA1 LC 239.4 C57,SYBR,NTC,Undetermined,,,,,
C5,ACT CA1 KO121.3 C57,SYBR,Unknown,24.37,0.367,,,,
C6,ACT CA1 KO121.3 C57,SYBR,Unknown,24.86,0.367,,,,
C7,ACT CA1 KO121.3 C57,SYBR,Unknown,25.09,0.367,,,,
C8,ACT CA1 KO121.3 C57,SYBR,NTC,Undetermined,,,,,
C9,ACT CA1 KO119.1 FVB,SYBR,Unknown,23.36,1.021,,,,
C10,ACT CA1 KO119.1 FVB,SYBR,Unknown,25.00,1.021,,,,
C11,ACT CA1 KO119.1 FVB,SYBR,Unknown,25.23,1.021,,,,
C12,ACT CA1 KO119.1 FVB,SYBR,NTC,Undetermined,,,,,
D1,BDNF CA1 LC 239.4 C57,SYBR,Unknown,32.74,0.047,,,,
D2,BDNF CA1 LC 239.4 C57,SYBR,Unknown,32.83,0.047,,,,
D3,BDNF CA1 LC 239.4 C57,SYBR,Unknown,32.80,0.047,,,,
D4,BDNF CA1 LC 239.4 C57,SYBR,NTC,Undetermined,,,,,
D5,BDNF CA1 KO121.3 C57,SYBR,Unknown,32.78,0.068,,,,
D6,BDNF CA1 KO121.3 C57,SYBR,Unknown,32.76,0.068,,,,
D7,BDNF CA1 KO121.3 C57,SYBR,Unknown,32.89,0.068,,,,
D8,BDNF CA1 KO121.3 C57,SYBR,NTC,Undetermined,,,,,
D9,BDNF CA1 KO119.1 FVB,SYBR,Unknown,32.32,0.277,,,,
D10,BDNF CA1 KO119.1 FVB,SYBR,Unknown,32.84,0.277,,,,
D11,BDNF CA1 KO119.1 FVB,SYBR,Unknown,32.74,0.277,,,,
D12,BDNF CA1 KO119.1 FVB,SYBR,NTC,Undetermined,,,,,
